入网时间,套餐价格,每月流量,每月话费,每月通话时长,欠费金额,欠费月份数
27.0,389.0,140.198242188,390.0,14.325,0.0,0.0
29.0,159.0,0.0,5.0,0.0,5.0,1.0
28.0,389.0,0.0,0.0,0.0,0.0,0.0
20.0,389.0,0.0,0.0,57.0972222222,0.0,0.0
59.0,159.0,0.0,4.0,0.0,0.0,0.0
23.0,159.0,60.2249348958,10.7883333333,16.5277777778,0.0,0.0
25.0,389.0,226.431477865,390.0,619.555555556,0.0,0.0
23.0,89.0,165.658203125,114.866666667,16.4,81.0,1.0
24.0,289.0,0.0,290.0,0.0,0.0,0.0
12.0,89.0,242.132161458,109.15,191.933333333,0.0,0.0
103.0,189.0,0.0,149.483333333,1770.10833333,0.0,0.0
23.0,159.0,429.035807292,126.263333333,2.47777777778,0.0,0.0
28.0,389.0,225.622884115,389.0,200.775,0.0,0.0
13.0,289.0,0.0,0.0,0.0,0.0,0.0
41.0,129.0,65.6918945312,82.2966666667,555.566666667,0.0,0.0
28.0,389.0,1597.85172526,395.0,284.191666667,0.0,0.0
44.0,159.0,2.64274088542,0.616666666667,51.8,0.0,0.0
15.0,129.0,0.0,0.0,0.0,0.0,0.0
27.0,389.0,235.625,2.725,446.419444444,0.0,0.0
17.0,159.0,0.61767578125,0.833333333333,18.1027777778,0.0,0.0
18.0,89.0,447.128255208,263.148333333,1279.20555556,0.0,0.0
42.0,159.0,0.0,5.83333333333,0.0,0.0,0.0
21.0,89.0,0.0,95.0,0.0,65.0,1.0
39.0,89.0,694.557942708,116.153333333,595.466666667,0.0,0.0
15.0,389.0,0.0,0.0,0.0,0.0,0.0
39.0,159.0,0.0,0.4,0.0,0.0,0.0
12.0,89.0,43.8051757812,93.525,278.388888889,8.45,1.0
15.0,389.0,0.0,0.0,0.0,0.0,0.0
41.0,199.0,0.0,4.0,0.0,0.0,0.0
12.0,19.0,202.692708333,49.2166666667,507.008333333,126.17,4.0
55.0,159.0,0.0,57.0,4.28888888889,0.0,0.0
16.0,159.0,371.322102865,18.915,186.530555556,0.0,0.0
35.0,159.0,0.0,0.0,0.0,0.0,0.0
14.0,19.0,13.7010091146,43.71,32.3888888889,129.45,3.0
17.0,209.0,0.0,4.76,0.0,0.0,0.0
13.0,89.0,0.0,0.0,0.0,0.0,0.0
23.0,389.0,532.151041667,390.0,369.066666667,0.0,0.0
57.0,159.0,4.07666015625,57.6,35.8555555556,0.0,0.0
39.0,69.0,0.0,60.0,2.06944444444,0.0,0.0
15.0,89.0,0.0,0.0,0.0,0.0,0.0
31.0,159.0,720.254557292,17.1316666667,1.05,0.0,0.0
22.0,89.0,0.0,89.0,0.0,767.0,13.0
45.0,159.0,79.3766276042,27.3316666667,472.852777778,0.0,0.0
51.0,159.0,0.0,7.58333333333,130.491666667,0.0,0.0
37.0,159.0,0.0,4.01666666667,303.058333333,0.0,0.0
25.0,159.0,0.0,10.0,0.0,0.0,0.0
